.0271 sec.
iter 88090||epoch:95 || Loss: 0.2506 || timer: 0.0284 sec.
iter 88100||epoch:95 || Loss: 0.2428 || timer: 0.0277 sec.
iter 88110||epoch:95 || Loss: 0.2458 || timer: 0.0273 sec.
iter 88120||epoch:95 || Loss: 0.2362 || timer: 0.0273 sec.
iter 88130||epoch:95 || Loss: 0.2268 || timer: 0.0287 sec.
iter 88140||epoch:95 || Loss: 0.2389 || timer: 0.0271 sec.
iter 88150||epoch:95 || Loss: 0.2196 || timer: 0.0285 sec.
iter 88160||epoch:95 || Loss: 0.2690 || timer: 0.0280 sec.
iter 88170||epoch:95 || Loss: 0.2296 || timer: 0.0273 sec.
iter 88180||epoch:95 || Loss: 0.2433 || timer: 0.0289 sec.
iter 88190||epoch:95 || Loss: 0.2354 || timer: 0.0270 sec.
iter 88200||epoch:95 || Loss: 0.2533 || timer: 0.0271 sec.
iter 88210||epoch:95 || Loss: 0.2416 || timer: 0.0271 sec.
iter 88220||epoch:95 || Loss: 0.2387 || timer: 0.0273 sec.
iter 88230||epoch:95 || Loss: 0.2131 || timer: 0.0274 sec.
iter 88240||epoch:95 || Loss: 0.2479 || timer: 0.0274 sec.
iter 88250||epoch:95 || Loss: 0.2644 || timer: 0.0274 sec.
iter 88260||epoch:95 || Loss: 0.2383 || timer: 0.0277 sec.
iter 88270||epoch:95 || Loss: 0.2463 || timer: 0.0274 sec.
iter 88280||epoch:95 || Loss: 0.2291 || timer: 0.0277 sec.
iter 88290||epoch:95 || Loss: 0.2324 || timer: 0.0287 sec.
iter 88300||epoch:95 || Loss: 0.2534 || timer: 0.0276 sec.
iter 88310||epoch:95 || Loss: 0.2345 || timer: 0.0290 sec.
iter 88320||epoch:95 || Loss: 0.2416 || timer: 0.0274 sec.
iter 88330||epoch:95 || Loss: 0.2307 || timer: 0.0274 sec.
iter 88340||epoch:95 || Loss: 0.2372 || timer: 0.0271 sec.
iter 88350||epoch:95 || Loss: 0.2174 || timer: 0.0273 sec.
iter 88360||epoch:95 || Loss: 0.2369 || timer: 0.0273 sec.
iter 88370||epoch:95 || Loss: 0.2589 || timer: 0.0274 sec.
iter 88380||epoch:95 || Loss: 0.2250 || timer: 0.0273 sec.
iter 88390||epoch:95 || Loss: 0.2287 || timer: 0.0270 sec.
iter 88400||epoch:95 || Loss: 0.2383 || timer: 0.0271 sec.
iter 88410||epoch:95 || Loss: 0.2441 || timer: 0.0302 sec.
iter 88420||epoch:95 || Loss: 0.2343 || timer: 0.0274 sec.
iter 88430||epoch:95 || Loss: 0.2535 || timer: 0.0273 sec.
iter 88440||epoch:95 || Loss: 0.2307 || timer: 0.0284 sec.
iter 88450||epoch:95 || Loss: 0.2495 || timer: 0.0271 sec.
iter 88460||epoch:95 || Loss: 0.2409 || timer: 0.0273 sec.
iter 88470||epoch:95 || Loss: 0.2523 || timer: 0.0274 sec.
iter 88480||epoch:95 || Loss: 0.2308 || timer: 0.0289 sec.
iter 88490||epoch:95 || Loss: 0.2319 || timer: 0.0273 sec.
iter 88500||epoch:95 || Loss: 0.2310 || timer: 0.0284 sec.
iter 88510||epoch:95 || Loss: 0.2510 || timer: 0.0287 sec.
iter 88520||epoch:95 || Loss: 0.2400 || timer: 0.0272 sec.
iter 88530||epoch:95 || Loss: 0.2403 || timer: 0.0288 sec.
iter 88540||epoch:95 || Loss: 0.2484 || timer: 0.0271 sec.
iter 88550||epoch:95 || Loss: 0.2340 || timer: 0.0273 sec.
iter 88560||epoch:95 || Loss: 0.2434 || timer: 0.0295 sec.
iter 88570||epoch:95 || Loss: 0.2402 || timer: 0.0296 sec.
iter 88580||epoch:95 || Loss: 0.2527 || timer: 0.0290 sec.
iter 88590||epoch:95 || Loss: 0.2497 || timer: 0.0274 sec.
iter 88600||epoch:95 || Loss: 0.2286 || timer: 0.0274 sec.
iter 88610||epoch:95 || Loss: 0.2510 || timer: 0.0270 sec.
iter 88620||epoch:95 || Loss: 0.2546 || timer: 0.0288 sec.
iter 88630||epoch:95 || Loss: 0.2311 || timer: 0.0291 sec.
iter 88640||epoch:95 || Loss: 0.2231 || timer: 0.0273 sec.
iter 88650||epoch:95 || Loss: 0.2602 || timer: 0.0273 sec.
iter 88660||epoch:95 || Loss: 0.2269 || timer: 0.0273 sec.
iter 88670||epoch:95 || Loss: 0.2453 || timer: 0.0280 sec.
iter 88680||epoch:95 || Loss: 0.2208 || timer: 0.0308 sec.
iter 88690||epoch:95 || Loss: 0.2540 || timer: 0.0271 sec.
iter 88700||epoch:95 || Loss: 0.2486 || timer: 0.0271 sec.
iter 88710||epoch:95 || Loss: 0.2578 || timer: 0.0271 sec.
iter 88720||epoch:95 || Loss: 0.2303 || timer: 0.0279 sec.
iter 88730||epoch:95 || Loss: 0.2322 || timer: 0.0274 sec.
iter 88740||epoch:95 || Loss: 0.2377 || timer: 0.0271 sec.
iter 88750||epoch:95 || Loss: 0.2183 || timer: 0.0271 sec.
iter 88760||epoch:95 || Loss: 0.2375 || timer: 0.0271 sec.
iter 88770||epoch:95 || Loss: 0.2366 || timer: 0.0274 sec.
iter 88780||epoch:95 || Loss: 0.2555 || timer: 0.0272 sec.
iter 88790||epoch:95 || Loss: 0.2377 || timer: 0.0271 sec.
iter 88800||epoch:95 || Loss: 0.2441 || timer: 0.0272 sec.
iter 88810||epoch:95 || Loss: 0.2471 || timer: 0.0271 sec.
iter 88820||epoch:95 || Loss: 0.2388 || timer: 0.0279 sec.
iter 88830||epoch:95 || Loss: 0.2209 || timer: 0.0274 sec.
iter 88840||epoch:95 || Loss: 0.2463 || timer: 0.0272 sec.
iter 88850||epoch:95 || Loss: 0.2669 || timer: 0.0274 sec.
iter 88860||epoch:95 || Loss: 0.2487 || timer: 0.0273 sec.
iter 88870||epoch:95 || Loss: 0.2497 || timer: 0.0270 sec.
iter 88880||epoch:95 || Loss: 0.2516 || timer: 0.0273 sec.
iter 88890||epoch:95 || Loss: 0.2407 || timer: 0.0274 sec.
iter 88900||epoch:96 || Loss: 0.2427 || timer: 0.0271 sec.
iter 88910||epoch:96 || Loss: 0.2379 || timer: 0.0273 sec.
iter 88920||epoch:96 || Loss: 0.2485 || timer: 0.0274 sec.
iter 88930||epoch:96 || Loss: 0.2342 || timer: 0.0302 sec.
iter 88940||epoch:96 || Loss: 0.2320 || timer: 0.0270 sec.
